simulacao,win_start,win_end,src,tgt,krlflow,tsmi,te,gc,gate,r2_auto,r2_gain_max,lag_cons,is_true
1,31800,32400,0,1,0.33425942963500843,0.587815155985685,0.002241689379649303,0.04164522597195841,0.9999944884197796,0.5983539691700992,0.3428842362518209,0.5068008094246683,
1,31800,32400,1,0,0.2845658148618962,0.3243780208313948,0.011344586038909199,0.9037141051954367,0.9722020297816721,0.46430526656922666,0.2926111567635962,0.5036077126144648,
1,32400,33000,0,1,0.27984173270524204,0.5584024969665957,0.00428047568499168,0.8940503162666278,0.9999996782710407,0.5808232914659885,0.28173661221807833,0.5016614926068574,
1,32400,33000,1,0,0.28023942228768184,0.4790588494709317,0.004718751268408594,0.9999945462176626,0.9999996706210778,0.5716823365519146,0.2825005600108045,0.5021248218907699,
1,33000,33600,0,1,0.2540113167346856,0.7056556568399204,0.0001182808608941599,0.9979248323143307,0.9687921894256976,0.703397262950067,0.25626254331041665,0.5010713532341029,
1,33000,33600,1,0,0.23726960950934556,0.6395648240304459,0.0,0.9990825329944689,0.5914881589763807,0.7468402541912861,0.24598520857628395,0.5043791950975282,
1,33600,34200,0,1,0.23413581424228083,0.338214209763265,0.0018965334182747817,0.5566227965220718,0.9999906412378485,0.817294405289885,0.2355425858481599,0.5011160220175511,
1,33600,34200,1,0,0.22860119255719538,0.6486243618407691,0.0,0.9941541577097444,0.9989587395472553,0.7680720739458364,0.22930801483374383,0.5004612434624025,
1,34200,34800,0,1,0.3532674655087352,0.2350539878450637,0.01074142974843606,0.14132402482119355,0.9999883920591702,0.43364290283167894,0.3589641443294691,0.5039182515233563,
1,34200,34800,1,0,0.38843363092877264,0.3722203439718419,0.009272571993887313,0.9842332986177997,0.9999999655461477,0.49511167697842606,0.3979827969475404,0.5042212318264749,
1,34800,35400,0,1,0.20501322330875907,0.6010203501387194,0.0035621071694920126,0.934644265646501,0.9952015688363979,0.7963465319455058,0.20715093083145658,0.5014798858568182,
1,34800,35400,1,0,0.24445286785265163,0.6250259004816008,0.001830365277895707,0.7303445635722511,0.9959968643483611,0.7362915098965968,0.2468684073213208,0.5012823125617485,
1,35400,36000,0,1,0.4697535654623152,0.14563950926515334,0.001527173785725866,0.9517844926173715,0.9999999999995635,0.3385836004111389,0.48107450104700433,0.5076710866949479,
1,35400,36000,1,0,0.36399289211479635,0.11717708104151803,0.0,0.874118733428009,0.9999999945358957,0.3106319398668036,0.3769543778086478,0.5066203260635258,
1,36000,36600,0,1,0.28801538916616776,0.7376234830020425,0.0,0.9999999999999999,0.9999998834253112,0.7136997095719271,0.29708185512065655,0.5070372470873769,
1,36000,36600,1,0,0.2376514999540849,0.7310942524588611,0.0016536602354209062,0.9969761999007937,0.9998106881539016,0.8092104606533453,0.24538932837699995,0.5031709102668567,
1,36600,37200,0,1,0.36967975937174796,0.7379361852261471,0.0,0.9999998087409933,0.9999997573139205,0.645891286861177,0.37773532604345583,0.5055727061707711,
1,36600,37200,1,0,0.2592080096776681,0.5880632354657773,0.005112033951294448,0.9999726062436346,0.9617475438590116,0.764249211443438,0.2635312530367174,0.5034909310776026,
1,37200,37800,0,1,0.4485975741756822,0.3066495482542335,0.0016151633601320103,0.6188345814425543,0.9999999999998919,0.6587371057965843,0.44963844534651404,0.5008752570042115,
1,37200,37800,1,0,0.24163106033579415,0.7661807081563201,0.0015471123834491785,0.9953712160226127,0.9995741895723019,0.8285087677841734,0.24869247926467858,0.5047379217094471,
1,37800,38400,0,1,0.27472348762781573,0.2322453735540444,0.0,0.9677719180906559,0.9904693756957235,0.5938467269112918,0.2785447873945584,0.5024797381297215,
1,37800,38400,1,0,0.3681345474414664,0.33750987828570755,0.003302047977837397,0.9396092886721583,0.9998783182908266,0.5930548150617889,0.37109267527036993,0.5026250806428513,
1,38400,39000,0,1,0.19381121448100125,0.8469258805327202,0.0008506240559684741,0.8439210446455996,0.9998254570392876,0.9012705102359915,0.19457620379294338,0.5004623968050546,
1,38400,39000,1,0,0.23363466297269922,0.7859348626750681,0.0019952682342236905,0.9999999985758506,0.9999711116700825,0.8169730552689451,0.236994205820943,0.5022993060240646,
1,39000,39600,0,1,0.3920370883498123,0.3331568228862479,0.0,0.8822663907677083,0.9999999999536597,0.42989045309903573,0.3972118361542276,0.5026201818010609,
1,39000,39600,1,0,0.3679662457498476,0.23845851519902195,0.007380836104776245,0.03375478770098117,0.9999988857179667,0.37932766457792744,0.3691638150895419,0.5011482335905265,
1,39600,40200,0,1,0.3016344763449939,0.5405832976856364,0.008992754844110218,0.9999999959516094,0.9971754326611488,0.595987361216545,0.3056449515124729,0.5031297030364557,
1,39600,40200,1,0,0.25892158649497876,0.5172034274627089,0.0,0.9957732015060637,0.21833244006910169,0.6059458009256454,0.25934881511598473,0.5003647639010254,
1,40200,40800,0,1,0.1986892290985542,0.296307053847894,0.0,0.359809847202589,0.9691861380691301,0.6902624619750259,0.21130882827461658,0.5053459952639643,
1,40200,40800,1,0,0.20521834975213032,0.5157535362893624,0.0,0.2015873993257068,0.9995180944915567,0.6638236316253279,0.21018776037856035,0.5030355055220833,
1,40800,41400,0,1,0.5516308923645439,0.49800512564097554,0.005856473075109392,0.9566220315074397,1.0,0.5076298004379365,0.5533251632367542,0.5015731633991543,
1,40800,41400,1,0,0.5546373786503779,0.5009096158357502,0.0,0.5905500131922785,1.0,0.5091166959091402,0.559924991011556,0.5038593562108982,
1,41400,42000,0,1,0.31660315820900164,0.7576378958234458,0.0,0.999998987904864,0.9999998902057906,0.7745179178642778,0.3177560829670634,0.50062186540839,
1,41400,42000,1,0,0.3039000380696407,0.735116848583802,0.001315322674467545,0.9999982110835633,0.9999987233304527,0.7842579367868291,0.3097948688857174,0.5060148572690534,
1,42000,42600,0,1,0.21461017736810797,0.04344252642004087,0.0012301576468527475,0.8771668558374095,0.9829609715045263,0.574107364713286,0.21706219862817466,0.5017108635391738,
1,42000,42600,1,0,0.22926189045712914,0.1424619754420836,0.0,0.9912441065353148,0.8212591158042204,0.49279586926543717,0.23015880657028845,0.5004315220994117,
1,42600,43200,0,1,0.2787744063428641,0.2249888949544927,0.005110256876116104,0.005481715708319568,0.9995730478442578,0.6530141585240565,0.2813486088985174,0.5015622792794787,
1,42600,43200,1,0,0.2349419640598783,0.7672209905927203,0.0027263605640637234,0.713670287167715,0.9726260490987724,0.8151010141390289,0.23638777921822252,0.501443973237248,
1,43200,43800,0,1,0.27533521842128234,0.22056289356814773,0.004018192107369423,0.07262393670024847,0.984145725103069,0.42867665175172975,0.28370495542418517,0.5044373833293703,
1,43200,43800,1,0,0.2516667959150253,0.31320149921208795,0.006365428054922573,0.8913780929074309,0.4800810126983975,0.4708459949046505,0.25314450042120473,0.5007052804788213,
1,43800,44400,0,1,0.1879347666614853,0.925315743125269,0.004192546583853041,0.9991599705082125,0.9995942177884651,0.9391382402626336,0.1881906233138285,0.5002020789317786,
1,43800,44400,1,0,0.1918132995275674,0.911922007439818,0.002774448705658683,0.4980695089650452,0.9951195973860705,0.9364615313750536,0.1927109755423338,0.5005730528388874,
1,44400,45000,0,1,0.2914013870189463,0.15181953498272016,0.0,0.8336492169482551,0.9999975188866543,0.3884907135167813,0.2947888898693254,0.5026446253646746,
1,44400,45000,1,0,0.29146669543998427,0.2682236276535912,0.008676369252001326,0.999881189971831,0.9997217509635378,0.4565070991943906,0.2984085826652714,0.5032358669414592,
1,45000,45600,0,1,0.2358929112376762,0.5412486753393211,0.0012629211844150667,0.005806392190918608,0.9203416233368853,0.4954424546568481,0.2393818027616863,0.502272536471658,
1,45000,45600,1,0,0.245041097140093,0.42304101508884184,0.00696660519386505,0.842673113266333,0.722511479906572,0.6017303780989132,0.24655906118172177,0.5010074164277034,
1,45600,46200,0,1,0.19284159157407202,0.5767754585400606,0.0,0.22001835087191035,0.9996662775704009,0.916605430131721,0.196361651024839,0.5015140648601846,
1,45600,46200,1,0,0.24052655318647265,0.4293113952762255,0.0009888829477777694,0.9821256130792698,0.9999993450008398,0.7683789005165591,0.2504511136169476,0.507229887406178,
1,46200,46800,0,1,0.38873304888095633,0.529589650762173,0.0,0.19384120471449295,0.9999995553466449,0.5539449112682933,0.40041307537038384,0.509255917181046,
1,46200,46800,1,0,0.2947517558039138,0.5652693740377884,0.0093414044371527,0.9855924506279959,0.9762536155205059,0.7009204600176899,0.2961448114076535,0.5011896119125885,
1,46800,47400,0,1,0.19111830641283992,0.5360562890209067,0.0006104084994882353,0.05885720444680742,0.9916762549946977,0.7835330497187087,0.19445364779930094,0.5017008311564433,
1,46800,47400,1,0,0.19825206764033615,0.7203469688833726,0.0,0.01924909386378537,0.9997192544814407,0.8023897341666393,0.2035679171493783,0.5039718370136889,
1,47400,48000,0,1,0.34241572855141633,0.21006213078905944,0.0,0.33950927389461527,0.9999587131624597,0.4959408285091328,0.3480379405772206,0.5037440802420957,
1,47400,48000,1,0,0.24207182827187507,0.3869125609308818,0.0012001195777335827,0.9381390031092027,0.8386016742470233,0.6100874495408304,0.24775096425933754,0.5048208787642503,
1,48000,48600,0,1,0.22721224808997748,0.5298849172357183,0.0,0.2122641773096483,0.9998515111880578,0.6100841457814248,0.22899622784041385,0.5011591974725051,
1,48000,48600,1,0,0.19528268088430256,0.5739609678562694,0.006602933508428999,0.9999999992073656,0.9752711195825974,0.5775452870172391,0.19835630870808615,0.5021793778798691,
1,48600,49200,0,1,0.16321787935050708,0.9030943545337449,0.0035235596051481632,0.7721738631180015,0.9909033009156005,0.9487889469907516,0.1635720892490596,0.500201447644345,
1,48600,49200,1,0,0.28215014123717436,0.5978173275722614,0.0023458409518533063,0.9976745460204043,0.999995403488837,0.6351318943615227,0.28603214571543173,0.5035788554308644,
